UserID,HasUserChurned,TotalCharges,MonthlyCharges,ContractType,PaymentMethod,Gender,AgeOver30,IsMarried,HasChildren,MonthsTenure,HasPhoneLine,HasMultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
abdvo5922,Yes,1761.05,89.65,Month-to-month,Mailed check,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes
abept9589,No,6460.55,92.45,Two year,Mailed check,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No
abkhq1834,No,2610.65,50.95,One year,Bank transfer (automatic),Female,0,Yes,Yes,52,Yes,No,DSL,No,No,Yes,No,No,No
abobj5846,No,1730.65,24.45,Two year,Bank transfer (automatic),Male,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
abpkk3482,No,1546.3,54.3,One year,Mailed check,Female,0,No,No,28,Yes,No,DSL,Yes,No,No,Yes,No,No
abqfq6815,No,6033.3,107.25,One year,Electronic check,Male,0,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
abvad7301,No,6350.5,86.6,Two year,Bank transfer (automatic),Female,0,No,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
abvlb8285,No,1328.35,19.85,Two year,Credit card (automatic),Female,0,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
abwrl3452,No,3865.6,86.05,Month-to-month,Credit card (automatic),Male,1,No,No,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
acczi6867,No,1208.15,52.5,Two year,Mailed check,Female,0,Yes,Yes,24,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes
acfog7129,No,283.95,53.8,Month-to-month,Electronic check,Female,0,No,No,5,Yes,Yes,DSL,Yes,No,No,No,No,No
achso5527,No,829.3,70.5,Month-to-month,Mailed check,Female,0,No,No,11,Yes,No,DSL,No,No,No,Yes,Yes,Yes
aclpl8039,No,4888.2,68.75,Two year,Credit card (automatic),Female,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes
acrhj6124,No,19.75,19.75,Month-to-month,Mailed check,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
acrxs4282,No,955.75,24.85,Month-to-month,Electronic check,Male,1,Yes,No,38,No,No phone service,DSL,No,No,No,No,No,No
actas1545,No,4977.2,99.7,One year,Bank transfer (automatic),Female,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
acvzc0956,No,5060.9,94.1,One year,Credit card (automatic),Female,0,No,No,54,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
acwbi9389,No,320.4,69.95,Month-to-month,Credit card (automatic),Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No
acxbs9661,Yes,4400.75,105.2,Month-to-month,Electronic check,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
acxip0536,No,8165.1,109.55,Two year,Electronic check,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
adawr2869,Yes,4016.85,89.3,Month-to-month,Credit card (automatic),Female,0,No,No,45,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
adbrc5802,No,5232.9,104.4,One year,Mailed check,Female,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
adesb6876,Yes,48.95,48.95,Month-to-month,Electronic check,Male,0,No,Yes,1,Yes,No,DSL,No,No,Yes,No,No,No
adfao2888,No,1041.8,21.3,Two year,Bank transfer (automatic),Female,0,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
adfvn8884,Yes,700.85,101.95,Month-to-month,Electronic check,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
adkrs6572,No,3548.3,74.8,Month-to-month,Credit card (automatic),Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No
adrgf7191,No,2390.45,54.3,Two year,Bank transfer (automatic),Male,0,Yes,No,44,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes
adrlb4432,Yes,74.9,44.65,Month-to-month,Mailed check,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No
adrux1096,No,4859.25,74.25,One year,Bank transfer (automatic),Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,No,No
adsmj7140,No,162.3,20.45,Month-to-month,Credit card (automatic),Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
adwxj4923,No,1679.65,65.8,Month-to-month,Bank transfer (automatic),Female,0,No,No,25,Yes,No,DSL,No,Yes,No,Yes,No,Yes
adxwo5108,Yes,791.75,73.5,Month-to-month,Electronic check,Male,0,No,No,11,Yes,No,Fiber optic,Yes,No,No,No,No,No
adzfj2245,No,2471.6,80.55,Two year,Bank transfer (automatic),Female,0,Yes,Yes,31,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes
aecuz8580,Yes,79.1,79.1,Month-to-month,Electronic check,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No
aehig7876,No,3077,60.15,One year,Bank transfer (automatic),Female,0,No,Yes,51,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
aeoze7114,No,1128.1,19.85,Two year,Bank transfer (automatic),Female,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
aerrl9347,No,486.2,19.3,One year,Credit card (automatic),Male,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
aeskg5095,Yes,242.95,91.5,Month-to-month,Credit card (automatic),Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
aetcs0761,Yes,19.3,19.3,Month-to-month,Electronic check,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
aevkx6341,No,6613.65,104.3,One year,Electronic check,Female,0,Yes,No,62,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
aevru2550,No,3053,53.45,One year,Electronic check,Female,0,Yes,Yes,57,Yes,No,DSL,Yes,Yes,No,No,No,No
aexbm9944,No,2664.3,85.65,Month-to-month,Bank transfer (automatic),Male,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
aezzr1761,Yes,79.55,79.55,Month-to-month,Electronic check,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No
afftx2845,Yes,4259.3,99.8,Month-to-month,Electronic check,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
afgbw8313,No,3522.65,73.6,Two year,Electronic check,Male,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes
afhab7521,No,220.45,44.8,Month-to-month,Mailed check,Female,0,Yes,Yes,5,Yes,No,DSL,No,No,No,No,No,No
afohs0625,No,558.8,20.2,Two year,Mailed check,Female,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
afqjb5334,No,1789.9,25.1,Two year,Credit card (automatic),Male,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
afssk5380,Yes,486.85,93.9,Month-to-month,Mailed check,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
afuyi8286,No,47.95,47.95,Month-to-month,Electronic check,Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No
afwnc2984,No,293.15,95.4,Month-to-month,Electronic check,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
afwox6374,No,3047.15,65.65,Two year,Mailed check,Male,0,Yes,No,46,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No
afwvj1627,No,554.25,19.4,Two year,Mailed check,Female,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
agaax5220,No,1664.3,24,Two year,Bank transfer (automatic),Male,0,Yes,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
agawh1855,No,2939.8,93.8,One year,Electronic check,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
ageen2123,No,609.65,84.35,Month-to-month,Electronic check,Female,1,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,No
agoqm1322,Yes,1380.1,30.3,Month-to-month,Bank transfer (automatic),Male,0,No,No,46,No,No phone service,DSL,No,Yes,No,No,No,No
agsin4121,No,1497.9,24.5,One year,Credit card (automatic),Female,0,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
agtlk1589,Yes,141.5,45.35,Month-to-month,Electronic check,Male,0,No,No,3,Yes,No,DSL,No,No,No,No,No,No
agznl9300,Yes,94,94,Month-to-month,Electronic check,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
ahasp0404,No,1421.9,19.7,Two year,Credit card (automatic),Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
ahcfp3643,Yes,644.35,95.6,Month-to-month,Bank transfer (automatic),Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
ahgnl9360,Yes,4830.25,109.55,One year,Mailed check,Female,1,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
ahjks4324,No,300.4,55.8,Month-to-month,Credit card (automatic),Female,0,No,No,5,Yes,No,DSL,Yes,No,Yes,No,No,No
ahjxr2522,No,6572.85,109.45,Month-to-month,Bank transfer (automatic),Male,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
ahook0496,No,1712.9,74.4,One year,Bank transfer (automatic),Male,0,Yes,No,24,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes
ahooq6284,Yes,1910.6,90.5,Month-to-month,Bank transfer (automatic),Male,1,No,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No
ahoup5288,No,874.2,78.5,Month-to-month,Electronic check,Male,1,No,No,11,Yes,No,Fiber optic,No,No,No,No,No,Yes
ahqnn5712,No,3954.1,91.65,Month-to-month,Electronic check,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No
ahuhd5940,Yes,70.6,70.6,Month-to-month,Mailed check,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No
ahwmw4701,Yes,2978.3,54.55,Month-to-month,Bank transfer (automatic),Male,0,Yes,No,55,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes
ahzil5630,No,177.4,64.5,Month-to-month,Bank transfer (automatic),Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes
aibvb9885,No,2440.25,85.8,Month-to-month,Electronic check,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
aidjq1431,No,2603.1,82.1,Two year,Credit card (automatic),Male,0,Yes,Yes,33,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
ailef8944,No,340.85,19.45,Month-to-month,Credit card (automatic),Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
aiqcg8149,No,2730.85,73.15,Month-to-month,Credit card (automatic),Male,0,No,No,39,Yes,Yes,Fiber optic,No,No,No,No,No,No
aiujo9702,No,2230.85,44.8,One year,Bank transfer (automatic),Male,0,Yes,Yes,50,Yes,No,DSL,No,No,No,No,No,No
aivnj0373,No,373,39.55,One year,Mailed check,Male,0,No,No,9,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
ajdtl7271,No,5073.1,94.45,Month-to-month,Credit card (automatic),Female,0,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
ajgeh3237,Yes,95.05,31,Month-to-month,Mailed check,Female,0,Yes,Yes,3,No,No phone service,DSL,No,No,No,Yes,No,No
ajhfs7241,No,2766.4,87.65,Month-to-month,Bank transfer (automatic),Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No
ajiek3186,No,6844.5,105.65,Two year,Bank transfer (automatic),Male,0,No,No,66,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
ajrao3378,No,1013.6,24.85,One year,Electronic check,Male,0,Yes,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
ajsld1000,Yes,20.1,20.1,Month-to-month,Mailed check,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
ajyua2499,No,7882.25,110.8,Two year,Credit card (automatic),Female,1,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
akbyh8875,No,1745.2,84.35,Month-to-month,Electronic check,Male,1,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
akdqf7554,No,323.45,45.65,Month-to-month,Mailed check,Female,0,Yes,No,6,Yes,No,DSL,No,No,No,No,No,No
akemh5392,No,523.1,45.05,Month-to-month,Electronic check,Female,0,No,No,12,Yes,No,DSL,No,No,No,No,No,No
akmas3174,No,3009.5,64.2,Two year,Credit card (automatic),Female,0,Yes,No,46,Yes,No,DSL,No,Yes,No,Yes,Yes,No
akmjv8180,No,44.55,44.55,Month-to-month,Credit card (automatic),Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No
akoaj5515,Yes,5440.9,100.1,Month-to-month,Electronic check,Female,0,No,No,54,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
akpia4567,No,4454.25,109.1,One year,Bank transfer (automatic),Female,0,Yes,Yes,41,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
akqep1850,No,178.7,20.35,Month-to-month,Mailed check,Male,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
aktsx1965,Yes,1101.85,78.95,Month-to-month,Electronic check,Female,1,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
akylr4522,No,731.3,54.8,Month-to-month,Electronic check,Female,1,No,No,13,Yes,No,DSL,No,Yes,Yes,No,No,No
aldgw4990,No,1118.8,20.75,Two year,Mailed check,Male,0,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
alkbs2129,No,1077.5,26.2,Month-to-month,Electronic check,Female,0,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
allcs2511,No,821.6,24.3,Two year,Bank transfer (automatic),Female,0,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
almck3352,No,4108.15,102.65,Month-to-month,Mailed check,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
almux7349,No,2313.8,65.6,Two year,Bank transfer (automatic),Male,0,No,No,37,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No
almwy2657,Yes,2169.75,84.95,Month-to-month,Electronic check,Female,1,Yes,No,26,Yes,No,Fiber optic,No,Yes,No,No,No,Yes
alqfh4009,Yes,2369.05,99.5,Month-to-month,Electronic check,Female,0,No,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
alxxz2636,Yes,69.6,69.6,Month-to-month,Electronic check,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No
alybr9136,Yes,24.45,24.45,Month-to-month,Mailed check,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No
alzwv1131,No,605.25,24.6,One year,Bank transfer (automatic),Female,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
amhod7696,No,3824.2,78,One year,Credit card (automatic),Female,0,Yes,Yes,49,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes
amioh1074,No,5935.1,108.25,Month-to-month,Bank transfer (automatic),Female,0,Yes,Yes,53,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
amjtl4160,Yes,164.3,19.65,Month-to-month,Electronic check,Female,1,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
amkak9152,No,493.4,80.25,Two year,Mailed check,Male,0,No,No,6,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes
amora1196,Yes,520,73.6,Month-to-month,Electronic check,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No
amqrx2155,No,1505.15,54.9,Month-to-month,Credit card (automatic),Female,0,No,No,28,Yes,Yes,DSL,No,No,No,Yes,No,No
amtie1493,Yes,20.2,20.2,Month-to-month,Bank transfer (automatic),Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
amtul2703,No,1939.35,53.65,One year,Mailed check,Male,0,Yes,Yes,36,Yes,No,DSL,Yes,Yes,No,No,No,No
amvux3577,No,55.05,55.05,Month-to-month,Mailed check,Male,0,No,No,1,Yes,No,DSL,No,No,Yes,Yes,No,No
amzbo5606,No,765.15,78.15,Month-to-month,Credit card (automatic),Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
amzuf6695,No,5950.2,86.45,Two year,Credit card (automatic),Female,0,Yes,No,70,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
ancrx9172,Yes,973.25,98.7,Month-to-month,Electronic check,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
andwj6906,Yes,1107.25,74.9,Month-to-month,Bank transfer (automatic),Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No
anhhj8133,No,5166.2,103,One year,Bank transfer (automatic),Female,1,No,No,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
anlqc4611,No,2911.5,50.05,One year,Electronic check,Female,0,Yes,No,60,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes
anlxo9576,Yes,222.3,69.55,Month-to-month,Bank transfer (automatic),Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No
anmuu0670,No,6687.85,97.65,One year,Credit card (automatic),Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes
anmve9308,No,2654.05,55.3,Month-to-month,Electronic check,Male,0,No,Yes,47,Yes,No,DSL,Yes,Yes,No,No,No,No
anodq8883,No,5746.75,84.4,Two year,Credit card (automatic),Female,0,Yes,Yes,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
anoei5915,No,5536.5,79.15,Two year,Mailed check,Male,0,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
anqnh3349,No,5890,99.5,One year,Electronic check,Female,1,No,No,59,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
anrml5649,Yes,180.25,95.1,Month-to-month,Credit card (automatic),Male,1,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes
antdp2302,Yes,5438.9,117.45,Month-to-month,Electronic check,Female,1,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
anwxo8970,No,1756.6,73.75,One year,Mailed check,Female,0,No,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes
aobhi5175,Yes,193.6,46,Month-to-month,Mailed check,Female,0,No,No,4,Yes,No,DSL,No,No,No,No,No,No
aofih5951,No,2245.4,66.4,Month-to-month,Credit card (automatic),Male,0,No,No,33,Yes,No,DSL,No,Yes,Yes,No,Yes,No
aoinx5553,No,6891.45,104.9,One year,Electronic check,Female,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
aoiqt3148,No,1718.35,24.95,Two year,Credit card (automatic),Female,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
aomki9025,Yes,536.4,93.55,Month-to-month,Bank transfer (automatic),Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
aoqlm9828,Yes,45.7,45.7,Month-to-month,Electronic check,Female,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No
aoroi8792,No,564.35,65.5,Two year,Mailed check,Female,0,Yes,No,8,Yes,No,DSL,Yes,No,No,Yes,No,Yes
aosih0684,Yes,95,95,Month-to-month,Electronic check,Male,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes
aoudh9814,No,1050.5,19.5,Two year,Credit card (automatic),Male,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
aovvu7587,No,2793.55,100.75,Month-to-month,Electronic check,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
aozuf5233,No,2149.05,74.95,Month-to-month,Electronic check,Female,0,Yes,No,29,Yes,Yes,Fiber optic,No,No,No,No,No,No
apgrb0164,No,8496.7,114.9,Two year,Electronic check,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
aplbt9399,Yes,74.7,74.7,Month-to-month,Electronic check,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,No,No
aplhw9817,No,316.2,25,Month-to-month,Electronic check,Male,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
apmxz9167,No,1821.95,84.15,Month-to-month,Bank transfer (automatic),Female,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
apnjl6752,No,2301.15,54.5,Month-to-month,Mailed check,Male,0,Yes,Yes,42,Yes,No,DSL,Yes,Yes,No,No,No,No
appbj3511,No,2292.75,99.95,One year,Credit card (automatic),Male,0,No,No,23,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
apwvy0431,Yes,2598.95,90.1,One year,Bank transfer (automatic),Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
apwzc5797,Yes,90.6,90.6,Month-to-month,Electronic check,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
apylu6000,Yes,713.1,80.8,Month-to-month,Electronic check,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes
aqbmt6128,No,2215.4,53.95,Month-to-month,Electronic check,Male,1,Yes,No,41,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes
aqcpf2692,No,7118.9,108.05,One year,Credit card (automatic),Female,0,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
aqcpu4737,No,5016.65,72.1,Two year,Credit card (automatic),Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No
aqffx4910,Yes,661.25,79.35,Month-to-month,Bank transfer (automatic),Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
aqnwt0617,Yes,3147.5,47.85,Two year,Electronic check,Female,0,Yes,No,64,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes
aqonu6923,No,454,20.9,Two year,Mailed check,Male,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
aqorl9013,No,2108.35,45.55,Month-to-month,Credit card (automatic),Female,0,No,Yes,48,No,No phone service,DSL,No,Yes,Yes,No,No,Yes
aqphz3900,Yes,19.9,19.9,Month-to-month,Mailed check,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
aqugt4154,Yes,1169.35,89.05,Month-to-month,Bank transfer (automatic),Male,1,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes
araaq1853,No,1277.5,50.35,Month-to-month,Credit card (automatic),Female,0,No,No,26,No,No phone service,DSL,No,No,Yes,No,Yes,Yes
aragg1548,No,224.85,58.5,Month-to-month,Mailed check,Female,0,Yes,Yes,4,Yes,Yes,DSL,No,Yes,No,Yes,No,No
arbtb9170,No,1012.4,19.6,One year,Credit card (automatic),Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
arceh6380,No,20.2,20.2,Month-to-month,Mailed check,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
arfoy3197,No,2007.25,105,Month-to-month,Mailed check,Female,1,No,No,19,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
argbx9412,Yes,4627.85,95.5,Two year,Mailed check,Female,0,No,Yes,48,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No
argqj9560,Yes,1312.15,81,Month-to-month,Electronic check,Female,0,No,Yes,16,Yes,No,Fiber optic,No,No,No,No,Yes,No
argxz8695,No,2425.4,75.55,Month-to-month,Electronic check,Male,1,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,No,No,No
armgp3654,No,5321.25,88.65,Two year,Credit card (automatic),Female,0,No,No,61,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
arnlo2799,No,341.6,69.35,Month-to-month,Electronic check,Female,1,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No
